,lat,lon,name
0,-83.83,-180.0,0
20,-80.67,-145.5,20
40,-77.17,-158.67,40
60,-75.75,-129.67,60
80,-73.6712165775355,-117.084979947959,80
120,-74.33,-108.0,120
140,-72.67,-101.33,140
180,-72.83,-75.0,180
200,-68.08,-66.83,200
220,-64.25,-61.5,220
280,-72.918134584303,-60.1266034487312,280
300,-77.58,-56.0,300
320,-74.08,-20.67,320
340,-71.7508881930406,-7.91252284564118,340
380,-70.08,11.33,380
400,-68.58,34.33,400
420,-67.83,49.83,420
440,-67.58,65.0,440
460,-69.17,77.17,460
480,-66.5,97.0,480
500,-65.75,113.67,500
520,-66.92,130.0,520
540,-67.83,146.83,540
560,-70.17,162.33,560
580,-74.83,164.33,580
600,-80.0,160.0,600
640,-76.75,-148.5,640
700,-63.1054517217184,-55.6247526915323,700
740,0.0,-80.08,740
760,8.33,-78.17,760
780,7.75,-81.5,780
800,12.58,-87.33,800
820,13.92,-90.5,820
840,16.92,-100.0,840
860,22.75,-106.0,860
880,29.5,-112.42,880
900,27.0,-112.0,900
940,31.25,-116.33,940
960,37.33,-122.42,960
980,42.33,-124.42,980
1000,47.92,-122.58,1000
1040,55.75,-132.08,1040
1080,59.67,-140.25,1080
1100,60.92,-150.42,1100
1120,57.42,-156.17,1120
1160,62.17,-165.5,1160
1180,65.5002769422319,-167.539111483918,1180
1200,69.08,-163.5,1200
1220,69.83,-141.83,1220
1240,70.0,-124.42,1240
1260,68.25,-109.0,1260
1280,67.98,-95.5,1280
1300,73.17,-91.33,1300
1320,67.83,-86.5,1320
1360,58.67,-93.08,1360
1380,55.25,-85.0,1380
1400,54.17,-79.17,1400
1420,61.3750573369968,-77.6258194511825,1420
1440,60.92,-69.5,1440
1460,57.67,-61.83,1460
1480,54.1482774680051,-58.079595617536,1480
1500,50.25,-63.42,1500
1520,48.08,-69.25,1520
1540,45.75,-63.25,1540
1580,44.42,-68.0,1580
1600,41.42,-71.5,1600
1620,38.2950663179822,-75.1252153336054,1620
1660,34.33,-77.58,1660
1680,26.42,-80.08,1680
1700,27.8525736105052,-82.6675514208719,1700
1720,30.5,-88.75,1720
1740,29.58,-92.25,1740
1760,28.75,-95.5,1760
1780,20.5,-97.0,1780
1800,20.0,-90.5,1800
1820,19.5,-87.5,1820
1840,15.92,-85.0,1840
1880,11.0,-74.83,1880
1900,9.17,-71.08,1900
1920,10.33,-66.0,1920
1940,9.0,-60.83,1940
1960,5.42,-53.25,1960
1980,-0.17,-50.0,1980
2000,-2.42,-43.5,2000
2020,-6.42,-35.0,2020
2040,-16.0,-38.92,2040
2060,-22.92,-44.0,2060
2080,-29.5,-49.83,2080
2100,-34.0,-58.33,2100
2120,-38.75,-62.25,2120
2140,-42.33,-64.5,2140
2160,-46.83,-67.0,2160
2180,-52.5,-70.0,2180
2200,-51.83,-74.33,2200
2240,-46.58,-75.5,2240
2260,-44.17,-73.17,2260
2280,-41.5,-73.0,2280
2300,-34.5,-71.92,2300
2320,-25.0,-70.5,2320
2340,-16.58,-72.83,2340
2360,-8.17,-79.0,2360
2380,-2.17,-80.75,2380
2420,-55.25,-68.17,2420
2480,-52.33,-59.5,2480
2520,21.82,-82.65,2520
2560,20.08,-74.17,2560
2580,21.42,-78.58,2580
2640,18.0,-71.08,2640
2660,16.3688751081682,-61.7519395710623,2660
2720,26.5530524821212,-77.0443960488348,2720
2760,24.5163010466313,-75.6879880623594,2760
2780,22.3806001801931,-74.0363824425152,2780
2860,47.92,-59.33,2860
2880,49.42,-54.67,2880
2920,65.17,-83.67,2920
2940,67.25,-75.67,2940
2980,72.58,-74.33,2980
3000,69.086286851639,-67.4175816018666,3000
3020,64.83,-65.75,3020
3040,63.33,-71.92,3040
3080,70.42,-87.33,3080
3120,75.7707786550758,-89.0998552797384,3120
3160,79.7208848781443,-87.2287357878862,3160
3180,82.33,-85.0,3180
3200,79.0,-75.0,3200
3280,78.08,-98.58,3280
3340,74.0,-100.17,3340
3380,77.75,-113.58,3380
3400,75.58,-119.5,3400
3480,72.67,-108.0,3480
3560,51.7604208146286,-178.231266931886,3560
3580,52.75,-169.17,3580
3600,63.42,-170.75,3600
3640,52.42,-131.83,3640
3660,49.25,-125.92,3660
3700,82.98,-24.0,3700
3760,76.67,-21.42,3760
3780,72.9529569604496,-22.2486080918705,3780
3800,70.17,-23.75,3800
3820,66.67,-33.92,3820
3840,60.17,-45.17,3840
3860,69.33,-50.75,3860
3880,74.0,-56.5,3880
3920,66.33,-14.75,3920
3940,64.5002851541685,-22.2873470703295,3940
3960,70.9906688958469,-8.00499903734917,3960
3980,3.92,9.33,3980
4000,5.83,1.0,4000
4020,5.25,-9.42,4020
4040,12.08,-16.33,4040
4060,20.75,-16.58,4060
4080,28.67,-11.17,4080
4100,35.83,-5.42,4100
4120,36.83,5.0,4120
4140,34.42,10.33,4140
4160,30.33,18.67,4160
4180,32.08,23.75,4180
4200,30.4601602505747,32.3559679549481,4200
4220,25.25,34.75,4220
4240,17.58,38.83,4240
4260,10.33,44.75,4260
4280,8.17,49.92,4280
4300,0.75,43.58,4300
4320,-8.17,39.33,4320
4340,-17.08,38.92,4340
4360,-24.75,34.92,4360
4380,-31.67,29.58,4380
4400,-34.5,20.5,4400
4420,-27.83,15.67,4420
4440,-18.83,12.42,4440
4460,-9.92,13.33,4460
4480,-1.83,9.17,4480
4500,35.67,35.75,4500
4520,36.75,28.58,4520
4560,40.0,22.5,4560
4580,40.25,19.33,4580
4600,45.42,13.42,4600
4640,38.58,15.83,4640
4660,44.08,9.5,4660
4680,40.42,0.5,4680
4720,40.75,-8.67,4720
4740,44.25,-1.25,4740
4760,48.58,-2.0,4760
4780,52.83,4.75,4780
4800,55.58,8.17,4800
4820,53.92,11.33,4820
4840,55.67,21.08,4840
4860,59.42,27.92,4860
4880,60.67,21.33,4880
4900,64.75,21.0,4900
4920,58.58,16.83,4920
4940,59.33,10.58,4940
4960,61.17,4.83,4960
4980,64.33,10.67,4980
5000,68.5452498333576,14.7116098794915,5000
5040,70.17,28.75,5040
5060,66.17,39.5,5060
5080,64.33,35.75,5080
5120,67.29048406424,45.14863522793,5120
5140,68.83,58.17,5140
5160,68.5,67.75,5160
