name,lat,lon,name2,coast
638,64.150583,-21.939889,REYKJAVIK,010
1421,78.928545,11.938015,NY-ALESUND,025
642,73.333333,139.866667,KIGILIAH,030
641,76.0,137.866667,KOTELNYI (KOTELNYI OSTROV),030
302,58.006377,7.554759,TREGDE,040
47,58.974339,5.730121,STAVANGER,040
1113,58.995212,9.856379,HELGEROA,040
1759,59.036046,10.949769,VIKER,040
33,59.678073,10.604861,OSCARSBORG,040
62,59.908559,10.73451,OSLO,040
58,60.398046,5.320487,BERGEN,040
486,61.933776,5.11331,MALOY,040
509,62.469414,6.151946,ALESUND,040
682,63.113859,7.734352,KRISTIANSUND,040
313,63.425224,9.101504,HEIMSJO,040
1748,63.436484,10.391669,TRONDHEIM 2,040
1241,64.859456,11.230107,RORVIK,040
562,67.28829,14.390813,BODO,040
45,68.212639,14.482149,KABELVAG,040
312,68.428286,17.425759,NARVIK,040
681,68.801261,16.548236,HARSTAD,040
425,69.326067,16.134848,ANDENES,040
680,69.647424,18.961323,TROMSO,040
758,70.664641,23.683227,HAMMERFEST,040
1267,70.980318,25.972697,HONNINGSVAG,040
2108,55.416667,12.829444,SKANOR,050
330,55.522222,12.893611,KLAGSHAMN,050
2107,55.5575,14.357778,SIMRISHAMN,050
2109,55.756389,12.903333,BARSEBACK,050
70,56.105278,15.589444,KUNGSHOLMSFORT,050
2110,56.142222,12.579167,VIKEN,050
2111,57.249722,12.1125,RINGHALS,050
2106,57.275,16.478056,OSKARSHAMN,050
69,57.366111,17.097222,OLANDS NORRA UDDE,050
2105,57.639167,18.284444,VISBY,050
1236,57.684722,11.790556,GOTEBORG - TORSHAMNEN,050
2112,58.093333,11.8325,STENUNGSUND,050
179,58.353611,11.217778,SMOGEN,050
2104,58.553611,16.837222,MARVIKEN,050
2113,58.996667,11.127222,KUNGSVIK,050
78,59.324167,18.081667,STOCKHOLM,050
2103,60.408611,18.210833,FORSMARK,050
1211,62.363333,17.531111,SPIKARNA,050
88,63.986111,20.895,RATAN,050
203,64.915833,21.230556,FURUOGRUND,050
2101,65.696944,23.096111,KALIX,050
249,60.031883,20.384817,FOGLO / DEGERBY,060
14,60.153633,24.956217,HELSINKI,060
239,60.428283,22.100533,TURKU / ABO,060
315,60.562767,27.1792,HAMINA,060
376,61.133533,21.425817,RAUMA / RAUMO,060
172,61.594383,21.463433,MANTYLUOTO,060
285,62.34395,21.214833,KASKINEN / KASKO,060
194,63.708567,22.689583,PIETARSAARI  /  JAKOBSTAD,060
240,64.666333,24.40705,RAAHE / BRAHESTAD,060
79,65.040317,25.418233,OULU / ULEABORG,060
229,65.673367,24.51525,KEMI,060
118,55.7,21.133333,KLAIPEDA,084
8,53.898889,11.458056,WISMAR 2,120
1448,54.060278,14.000833,KOSEROW,120
11,54.169722,12.103333,WARNEMUNDE 2,120
397,54.510833,13.643056,SASSNITZ,120
13,53.958056,10.872222,TRAVEMUNDE,125
789,54.372222,10.156944,KIEL-HOLTENAU,125
7,53.866667,8.716667,CUXHAVEN 2,140
1036,54.616667,8.383333,AMRUM (WITTDUEN),140
20,51.442222,3.596111,VLISSINGEN,150
1551,51.619722,3.681944,ROOMPOT BUITEN,150
9,51.9175,4.249722,MAASSLUIS,150
22,51.9775,4.12,HOEK VAN HOLLAND,150
32,52.462222,4.554722,IJMUIDEN,150
23,52.964444,4.745,DEN HELDER,150
25,53.175556,5.409444,HARLINGEN,150
24,53.326389,6.933056,DELFZIJL,150
236,53.363056,5.22,WEST-TERSCHELLING,150
489,51.15,2.733333,NIEUWPOORT,160
413,51.233333,2.916667,OOSTENDE,160
1794,54.650722,-3.567167,WORKINGTON,170
1294,48.359402,-4.78083,LE CONQUET,190
1,48.38285,-4.494838,BREST,190
1347,48.718399,-3.96586,ROSCOFF,190
453,49.4819,0.106,LE HAVRE,190
467,49.651299,-1.63563,CHERBOURG,190
483,42.238,-8.731,VIGO,200
1898,42.24314,-8.726,VIGO II,200
1806,43.35153,-3.04513,BILBAO,200
1808,43.35731,-8.38933,LA CORUNA III,200
1807,43.4613,-3.79076,SANTANDER III,200
485,43.4613,-3.7908,SANTANDER I,200
488,36.0086,-5.6026,TARIFA,220
